text,score
"@marginatasnaily Yes, you really should!",enthusiasm
@solangeknowles www.youtube.com/watch?v=6UrRxta8doM this was the first 1!,enthusiasm
@shaki_sm I'll have a look. Do you live in the centre of Glasgow? I was born on Bellshill &amp; grew up in Bothwell. I miss Tunnocks pies,enthusiasm
"At work   leave for Berlin at 17:00 by car, will be a late arrival",enthusiasm
"@firequinito From the champion team in the defunct MBA, Cebu Gems!",enthusiasm
BEEN TOWN WITH THE MOTHER  NICE &amp; SUNNNY,enthusiasm
@ddlovato how was bamboozle? i wish i could've gone. &amp;&amp; have you worked with laurie ann gibson? she told me you guys worked together,enthusiasm
monday morning . lets whip out some code today,enthusiasm
Happy Mothers Day mom!  I love you!,enthusiasm
@LeslieCraig haha maybe someday I will be your publicist! that's what i am going to school for,enthusiasm
"@daveredfly great thanks  looking for a client, maybe I can use this myself, gonna try it",enthusiasm
Sent Twitterville 1.2 off to Apple for review  More screenshots etc will be released later this week.,enthusiasm
Getting all annoyed cos this weekend's going to be hot. I'm bloody working,enthusiasm
Chili night in Minneapolis.  I refuse to turn the heat on in May!,enthusiasm
@Susie_Nutbar Good morning  how are you? #TwitterTakeover,enthusiasm
"@JRKNaughtyNurse Yep, @thespunkyone that B-Day kiss is gonna happen, right @JonathanRKnight",enthusiasm
About to watch the Star Trek movie,enthusiasm
"@joyfrequencies Yes, but I'm quite rusty.  I'm hoping to get back to it and &quot;tune up&quot; my skills.  Tim plays guitar.  We threaten duets.",enthusiasm
@MrCav lol.. ass monkey,enthusiasm
who goes bowling anymore?... me and my friends,enthusiasm
@NikkiBenz cool !! actually i believe T.I. has just begun his jail sentence in arkansas,enthusiasm
Waiting for 5:00 &amp; having cramps,enthusiasm
@JasonBradbury YES! but keep them coming,enthusiasm
What a meeting... YAY more work for me,enthusiasm
"@takinghostages ~entonces estas perdonada porque sigues a tom conrad, who we all know is made of awesome",enthusiasm
"I REALLY WANT TO GO TO artesia , cerritos on sunday for QUEST! LOL. imma die if i dont",enthusiasm
@brunamedeiros heeeeey baby ? where are you?,enthusiasm
lookin forward to liverpool 2mz,enthusiasm
live on stickam.com/itstyleryo COME CHAT!,enthusiasm
"@chrisgwilliams hahaha. I'm driving, so I leave roundabouts when I wake up tomorrow. Arrive proximately 5 hrs from then.  See ya tmw!",enthusiasm
Just took a shower.We're gonna go to Church.Time to thank Him for my mother.,enthusiasm
at work  then back to my baby's house,enthusiasm
Morning People!  Just woke up now!,enthusiasm
"yeahh, uhhh, not so sure if i'm feeling the new jonas songs just yet",enthusiasm
My Respect For Travis Clark Has Gone Down 7.5 Notches,enthusiasm
Thinking of summer,enthusiasm
@MorrisonCorner i don't have any excuse other than night shifts! we got our orphan lambs from a local farmer so we cheated,enthusiasm
@sharonkneadles Best of luck to you,enthusiasm
"@AS2257 heyyyyyyyyyyyyy divshite, phone is playing soft arses again  xx",enthusiasm
@rachelgirl5 I can't go to the grocery store on an empty stomach. That's trouble! I wanna see ur show but not sure ill get to  let u kno,enthusiasm
@chaddlesm Good Luck,enthusiasm
"@rOcketsBABY great thanks hun, i did thr family thing this wknd too! 5 weeks today we hit the USA, cant wait!!",enthusiasm
"@stevetilley it was a lonely battle, my friend, but you fought valiantly!",enthusiasm
"Home finally! Im soooo tired and kinda lonely now, blah but w.e I'll cuddle in some blankets and watch a movie by myself  sounds good. Lol",enthusiasm
"@davekennedy Wow, you might be countering the Benedryl with your enthusiasm.",enthusiasm
"Great weekend, even though my site is not moved. Plenty other things to do and learn. Keeping the faith and looking to the future",enthusiasm
Said The Whale &amp; Mother Mother? OK!,enthusiasm
"@CustomCreation - We drank ours away, May Day Bank Holiday today",enthusiasm
@oninobaka you know it's a place with &quot;Action&quot;,enthusiasm
Nice seeing my partner in crime/gossip drama queen partner again. I missed my Manda!,enthusiasm
FREE UNLIMITED RINGTONES!!! - http://tinyurl.com/freeringring - USA ONLY - Awesome 4 iphone,enthusiasm
BGT!!!!!!! - Will be gutted when it finishes tomorrow  - Stavros Flatley all the way!,enthusiasm
"Visit 2  La Ventana de los Cielos foundation was pushed bck 2 weeks,  was so excited 2 go &amp; meet the kids. I'll have 2 wait another 2 wks",enthusiasm
"@amalinaaa You said your getting McFlys live album 2morrow, whats it called?  xx",enthusiasm
"Shite night, tomorow, I get to hang out with my little brother and neice, should be sufficient enough to change my mood",enthusiasm
@JoannePeh jia you !,enthusiasm
"worked out tonight, had to work off the Cheesecake I ate todAY. To all the pple who are on a diet.. DON'T QUIT! It's not worth it",enthusiasm
@Somaya_Reece naw missed it and the video cool looking sexy,enthusiasm
"Looks like rain again  Oh well, it will give me a chance to work on a new crochet pattern I have in the works.",enthusiasm
"@pinkladyjen that's a shame, next time hon  yeah tea on thursday would be delightful thanks bestest sis in law x",enthusiasm
@sotongs Sigh,enthusiasm
@jeanettewang Nice! That would be a feat for me...The husband's out clocking some miles for Sundown too!,enthusiasm
@nzclothnappy we can all but hope... georgia is still wide awake and has the hiccups,enthusiasm
@ItStartsWithUs hey!  sorry for the late reply.but i do plan on posting on both facebook and twitpic.,enthusiasm
"DH at work, DD7 at party. Seriously thinking of treating DS9 and myself to sushi lunch - after all, it IS Mother's Day here!",enthusiasm
super duber high! this klondike bar is thee business.,enthusiasm
"i want to wake up early, and get a coffee tomorrow (today) !  it's going to be a busyy day! but have to keep writing.. booo whoo!",enthusiasm
Anyone up this te of night? The tweets have slowed down  let me know ur out there and I'll follow u,enthusiasm
"baby i need you , right here , right now",enthusiasm
"is sore from weight lifting  However, it's the good kind of sore that gives you man-boobs you can move with the power of your mind alone!",enthusiasm
I really want to go see UP!  haha. Tooo cute! (:,enthusiasm
is trying to help save the earth. Let's plant more trees.,enthusiasm
word to yer mother!!   \m/,enthusiasm
morning everyone! another dat of school,enthusiasm
Bran!! Watch my video!!!!! please dont make me go stalker status 2nite  http://bit.ly/3Ysav,enthusiasm
"April showers bring May flowers, yea",enthusiasm
Mcfly evolution for the 4th time round,enthusiasm
"@Trekkygeek Aye, May the 4th be with you",enthusiasm
@racquel_xx i'm just about to start the second one  theres only two up yeah?,enthusiasm
@chickieleighc That was nice. I Just ordered my mom her gift from me and my sister.   Something different and unexpected.,enthusiasm
"@avalanchelynn When you're driven to be in the theatre you develop a thick skin.  12 yo's been auditioning since she was 8, gotten 1 part.",enthusiasm
@timscott2 Cool. Whenever I see someone is making so much. I tell them I WILLING to help them spend  So what's your deal?,enthusiasm
"@jerrynovak Thanks, hope you have a good one",enthusiasm
Good morning in Twitterville. Off to work I go...Chat @ all of u later,enthusiasm
sape ada paypal USD70 untuk dijual? offer me your best rate..,enthusiasm
"@sajal I meant you are not lazy, your work proves it",enthusiasm
I designed a new shirttttt.,enthusiasm
@ScottRhodie I wanna be drinking at the pub,enthusiasm
"@yvetterdz84 nah, he won't  but I will sit here and enjoy the view :-P",enthusiasm
responding to more questions at Thou Shall Blog! I appreciate this community.,enthusiasm
I am going to die tomorrow night.  @emilazy should be here.,enthusiasm
@lauraduhaime Hello How are you,enthusiasm
@mcr_chick haha. I completely agree,enthusiasm
"@HDEnvy Thanks!  Unfortunately the EU had probs with his satellite provider, so even though his TV LOOKS great, it's basically useless",enthusiasm
"Just been out to try to catch a swarm, gone into a roof gable end   Set up a bait hive an hoping for the best at the moment",enthusiasm
@wolf_gregor Great avatar,enthusiasm
"I have myself barely 4 hrs of sleep and the Lord blessed me with what feels like 8, but it came with a sore throat  pumpin out this paper!",enthusiasm
@EZ_DESIGN allright! Looking forward to it..,enthusiasm
shout outs to @SPAC3MAN!!!! good seein you tnite. WE takin over like DJ Khaled!,enthusiasm
"Good morning tweeps! Monday got here way too soon! Hope you are having a good one, at least as good as it can get for a Monday",enthusiasm
"browsing thru adopting agencies, i'm gonna get some exotic kids",enthusiasm
I want another shake from Ritas.Badly.,enthusiasm
@kfb1991 I can't really say much because none of it is set in stone.. but I'm planning a charity concert for Cystic Fibrosis,enthusiasm
@CinnamonCloud well you'll ether have to buy the DVD or wailt till july to see the Secret Episode!!   Episode 13!,enthusiasm
ItS fRiDaY... I cAn'T wAiT tO bE dOnE wItH wOrK!!! Stuck here till 11,enthusiasm
"@ubuntugeeks good morning to you!  No wait, its evening.  You still have a whole day of work to go before the weekend!",enthusiasm
@theteganandsara PRIDE next weekend in Long Beach!!,enthusiasm
Selling my laptop for CHEAP if anyone's interested!  17&quot; Toshiba 1.3gig ram,enthusiasm
@LovelyAaris That's not fair! I'm hungry as hell,enthusiasm
ok I promise to become interesting if you follow me,enthusiasm
@PlayForKeeps I made my parents add u guys on the family myspace...they were impressed by the song.,enthusiasm
MY GOSHHH :3 A NEW FOLLOWER  hi there! i won't rape you! i lie. &gt;:],enthusiasm
Done...now another gem of a day in Cape Town,enthusiasm
"@xennyeh Sure, I'll be in chat in a sec   Here's the thread http://tinyurl.com/ojcf5l",enthusiasm
@amcknight30 thanks for following,enthusiasm
i'm oh so very bored!  buut.. almost 2 days til i leave for france!,enthusiasm
"booziest weekend in a long time, good fun though!",enthusiasm
at school again  its boring and these people are playing country and it sucks !!!!XD,enthusiasm
Wants to meet Jeff Hardy and Beth Britt So bad its Soo Annoying  x x,enthusiasm
Good morning my sexy twitter how's yall doing??? I'm gd but it's like 7:49am n I still wanna sleep,enthusiasm
On my flight headed 2 denver...see yall in a min,enthusiasm
@AlexTrup Thx,enthusiasm
"@thedrawingroom hilarious. so if she acts up, all you have to do is say 1 little word...&quot;gummed up&quot; grosses me out; hub says it 2 torment",enthusiasm
Great find @NicciSnail  http://amanita-design.net/samorost-1/,enthusiasm
@_catchfire Happy Birthday Chip's sister,enthusiasm
"New project, new mess",enthusiasm
I like airports.  I can't fucking wait until friday! I want it to be friday right freakin now!,enthusiasm
"@MrExclusive1 I'm jealous...i need 2 escape 2, lol.",enthusiasm
I really wish someone would make a groupchat theme for Adium suited for IRC. yMous has way too low contrast.,enthusiasm
Need to buy a bluetooth device for machine,enthusiasm
@harmonjames You geek!,enthusiasm
@JanaiChristian While im stuck INSIDE in Elk Grove Village working all day   Someone should enjoy it!,enthusiasm
Good morning Sunshine   Tiime for $chooooL ! lol . BBL`,enthusiasm
http://twitpic.com/67bpd - This store at the airport is as close as we'll get to WDW during this trip.,enthusiasm
"So, I need to make a lot of money tomorrow",enthusiasm
@ce_ci Im not reasonable... It's 1:35am now and gotta wake up early tomorrow on my first day of holidays!  have a great evening!,enthusiasm
Mom is wearing shrug I bought her 2morrow...I can't wait 2 c her n it..cute,enthusiasm
catching up on House  season finale monday!,enthusiasm
@kkmommy9802  I'm trying to get myself moving this morning!,enthusiasm
Back to Work,enthusiasm
@KatieKrafka oh you crazy kids and your stress. try effed / not effed; followed by acceptance. works wonders for the rest of the world,enthusiasm
im so new!! and i need ur help,enthusiasm
"off to go buy more deck sleeves and 3X3 card pages.  Man, those pages are expensive!   Stupid organizing collection.",enthusiasm
@HIstapleface answer my really cool questions,enthusiasm
"@dino2gnt Yeah, I'm getting ready to go get pizza. Then nothing to do  Maybe @hazard_2gnt will want to play Xbox.",enthusiasm
"haircut as short as possible, even change color , new me",enthusiasm
@AmandaGearSolid OMG! It's the famous Amanda woman person thingy!  HUGS ALL AROUND!,enthusiasm
@margotrobbie oh that makes sense! Well you are officially my first @reply from a celebrity!!,enthusiasm
@BlokesLib i look forward to that. if u ever write 5 Things a Misanthrope Must Do to be at Peace w Humanity i'm up for that as well,enthusiasm
EVERYBODY WELCOME @purpletonic!!!  Hello Nicole ;),enthusiasm
@i420TRUE THANKUS,enthusiasm
add me on myspace?? www.myspace.com/pwnage_org  -&gt; pcFOpc,enthusiasm
"@_everaldo on my MacBook I run Linux with Parallels and on my iMac I use VMware Fusion and both are great, especially in &quot;Unity&quot;-mode.",enthusiasm
schoool time. not doing much this week.  about 20 more days of school and it's time for NYC!  can't wait for the last day of school.,enthusiasm
"@_dritan Dam you, I want an #android, stupid only rogers",enthusiasm
just another monday...but there are less then 2 hours to work for today...,enthusiasm
"@sammoran BTW, 'nathanfillion' is trying to beat his Flight Control score as well, maybe you should follow each other?",enthusiasm
"Oficially Back to work, all systems up and running smoothly",enthusiasm
"Time to nap w/my giant, early birthday present, Pooh Bear stuffed animal",enthusiasm
@Nawarii22 ur welcome  u finished ur speech (typed it and written notes),enthusiasm
i want candy!!!,enthusiasm
"@FuschiaFoot sold, so i hit cash and just took the tax out of my tips. but then my drawer ended up being 5 dollars short  idk if its cause",enthusiasm
"41 Followers? Random people, but okay!",enthusiasm
Healthy Wishes. I may just start saying that.,enthusiasm
@caitlinpasko awesome  have you played there before?,enthusiasm
"@Ah_Lex_Ah hey alexa, you heard right  looking forward to causing some mischief on friday!!",enthusiasm
@red_hawt Hmm..  Interesting choice.,enthusiasm
Ian is waiting for a very important pic,enthusiasm
"@TheYotesDiva Yep, I tolerate nothing in the facebook group",enthusiasm
"@drewseeley hey i loved ACS but i had to see it online, is not here yet   cant wait to buy it!!! you look amazing there",enthusiasm
@Lena_DISTRACTIA Good morning.,enthusiasm
@kiwi_from_hell @sporkess how's monday for you?,enthusiasm
Stood outsiden got the WORST butterflies everrrrr!,enthusiasm
@cnolovechild YAY!!! I think I found it and a few more,enthusiasm
I don't want Warren to die. He's an awesome character!  I hate Clare she should fucking die once and for all.,enthusiasm
- Gig was awesome! Am exahausted and so dont want to revise  Boo Hoo!,enthusiasm
@xCarCrashHearts ironclad determination?,enthusiasm
Heading to a wedding,enthusiasm
Cute dress!  Hyped  http://lookbook.nu/look/134071,enthusiasm
I want Crimson Gem Saga.  I will just go play RF Guerilla demo repeatedly. I (Mission Failed - YOU DIED) so many times from dicking around,enthusiasm
Yay for birthdays  sadly my voice is almost gone :/ but it was a pretty good night!,enthusiasm
@NathanFillion You're going to the UK?! Take me with!,enthusiasm
Por Favor!!! Only need FIVE more!  http://tinyurl.com/dzcpg3,enthusiasm
@LoveLinds HEY THAT'S SOMETHING I'D DO!,enthusiasm
Logging it out. Thank you Kiana...you're something else ma! masha'Allah.,enthusiasm
@jamiexvx join the club.,enthusiasm
"@jodiekearns I'm there all weekend, expecting it to be way too hot",enthusiasm
Spending the first night in my new place!,enthusiasm
i bought a Italian horseshoe charm. Dragon! it seems to be very strong,enthusiasm
"would like june the nineteenth to hurry it self up, as she is waiting very impatiently to see wes carr",enthusiasm
Congratulation's to phil packer on completing the london marathon  x a shining example to us all x,enthusiasm
@Andrewgoldstein just pre-ordered your new album 'Off The Deep End'. Been listening to 'Permanent Heart' on repeat since.,enthusiasm
In about 2 hours from now i will find out how good the STAR TREK Film from J.J. really is. A Ticket costs 9 Euro and i hope its worth it,enthusiasm
@gnoserif FANTASTIC IDEA.. you the man! but I'll end up all lonely when the tourist goes home,enthusiasm
@THE_WOCKEEZ I wanna go! But I won't be there  I'm sure that the show will be great!!,enthusiasm
im still waitin for my girl to come home...i wanna go shopping,enthusiasm
GOOD LUCK ON FINALS EVERYONE!!!!!!!!!!!!!!!!!,enthusiasm
Ok Twitter - show me what your all about,enthusiasm
Everyone is so sad about the no touching rule.  You still get to see them! More than most of us get!,enthusiasm
@thebirchtree i'll try sort that fabric out for you today...been a busy bee!,enthusiasm
I WANT LASAGNA TOOOOOOO.,enthusiasm
@johncmayer what about name Jana? there you've got lots of options..,enthusiasm
"@RussellBfan90 ah its getting there  still a fair bit to go, but it's coming together fairly well! aw  where are you from?",enthusiasm
That's it. I'm hooked.,enthusiasm
Just joined Twitter hehe,enthusiasm
Sometimes all it takes to solve our problems is a fresh morning!! Hope today is beautiful for you,enthusiasm
@web20empire @copywriting Welcome to my network buddies,enthusiasm
Hey @deangeloredman yes! Praise Him! lol   (deangeloredman live &gt; http://ustre.am/2NlC),enthusiasm
"Double rainbow above the Organs. Pretty, but doesn't take the edge off my $460 grocery tab.",enthusiasm
"@oliyoung it's stable, faster than 2.x and working.",enthusiasm
@carmenforward no way - those are great words.  Boys don't get to own them.    Oh and was it your bday?,enthusiasm
finished the book... vat a good book &lt;3333,enthusiasm
@youngscraphics - I produce/direct/film/edit... I write... I coordinate events... I manage Don Fetti... there ain't much I don't do!,enthusiasm
"@c1ndyy Yeah, it's good! If you're not going to use it, give it to me! I want to watch Star Trek",enthusiasm
watching a youtube vid of @jonasbrohters sing paranoid live  @njbond007 is so cute when he sings lol,enthusiasm
Off to bed I go to dream of a world where Wal-Mart and Liquor stores all get blown up,enthusiasm
Tell your mom Happy mother's day ok be a good child and tell her !!!,enthusiasm
"Happy robbie drank a good bit, as long as he doesn't wake up sick",enthusiasm
Off to ambers...a weekend of labour and hard work ahead!,enthusiasm
@kristenyt  that's why I need to be there...To represent the Blackberries,enthusiasm
I'm going to go check out DJ Volt.,enthusiasm
"Editors read this and nod, writers read this and take notes.  http://tinyurl.com/crm4c2",enthusiasm
says Goodmorning.  http://plurk.com/p/x2bm1,enthusiasm
Massive morning.. I'm stuffed now,enthusiasm
"CCï¿½s video for Long Gone premiers today on yahoo, dont miss it: http://new.music.yahoo.com/videos/premieres/ AWESOME video and version",enthusiasm
@twochix1 I want to see David cook!!,enthusiasm
@misterdevans   Well....hopefully someday soon you can get one!,enthusiasm
Cant wait to leave work,enthusiasm
http://bit.ly/Wl9yL  i want to go here,enthusiasm
@billingtonart Gone have my ears on it when I am at home ..plenty of painting for you as well,enthusiasm
The first time all week I can play WoW and I get stuck at &quot;authenticating&quot;.,enthusiasm
"@Danielindra actually,we r going there in june with my office colleagues,paid by company",enthusiasm
"making more muffinsss, wheat jerm AANNNDD psyillium husk",enthusiasm
@BrianMcnugget I was sleep for all that and missed the fun! Hey DG.  lets play another gammme brian,enthusiasm
going to work once again. what a great few days off i had. now it's over  but atleast i get 2 more commin up wahooooooo,enthusiasm
@clarexsaula I am excited. Ashley and Matt should be here within the next half hour and that's when it all really starts for me.,enthusiasm
"@nadiabeckett Ha ha, might be - I've doubled my morning intake already in the last couple of days - now have a HUGE bowlful!",enthusiasm
@Nicholina6....got your message!!! You are such a twitter freak!,enthusiasm
ready to go home,enthusiasm
"@xac Reminders are good! Speaking of which, we haven't had a Posture Check in awhile.....",enthusiasm
[Somewhere - Within Temptation] returned to mysefl. Keep working hard till June,enthusiasm
"I wish I was at Disneyland or watching Star Trek like other people are doing. I swear, I must be the only sap who works on Fridays.",enthusiasm
i feel like taking a day off but cannot afford it  looking forward to the dfb cup final tmrw night though. go werder!!!,enthusiasm
"@inuyaki Macs, food, Spam ... I knew I had to follow you.",enthusiasm
i'm lookin for email to this man  i have his photo -Spray Painting in Wroclaw(Poland) by Kosmo http://bit.ly/EOvVN,enthusiasm
@mitchelmusso I want to call you but it would cost to much  But Maybe my parents will say okay =D,enthusiasm
really really wants to go and see Coraline.,enthusiasm
"Come on, man, give me some slack!",enthusiasm
@taylorswift13 Have a great time in London,enthusiasm
"@ChrisAxe Thank you. Keep it down, there's a good lad.",enthusiasm
been in bed for two days with migraines,enthusiasm
Happy Mother's day to all the mom's out there in twitter-land!,enthusiasm
trying to upload one thousand photos!!,enthusiasm
Im eating a salad  and rember to comment my new myspace pictures plz?,enthusiasm
Early start today! More rain and more miles!,enthusiasm
big ups sister #1 for calling in too,enthusiasm
@Hilareeee But...but...I'm not!,enthusiasm
@Moanikeala you outta follow zipz for discounts and updates,enthusiasm
"got in a fist fight with a old biker guy.......and how dare you even ask, yes i kicked his ass",enthusiasm
@millyreyes follow her shes lonelyyyy,enthusiasm
@DFS_Ellen and she's 9.5 and a rescue.. bad hips.    She deserves pampering!  She's full of life though!!,enthusiasm
got a lot of shopping done today...really excited bout my new travel journal! Going to go to sleep watching a movie with my cousins,enthusiasm
"@johncmayer &quot;arrest her&quot; or, anything ending in -est that can be done to her.",enthusiasm
@JonathanRKnight awe...Thank you Jon!,enthusiasm
@dnbchik ohhh that cant be very fun    but hell you manned it up!!   looks like you got some shit done today!!,enthusiasm
is off to RENT soon  Hope I can get home tonight though with all the train problems :s ...,enthusiasm
Half Marathon Training Day # 1 .........,enthusiasm
"im a pro at bbqing like. everyone loved my food, apart from the tesco man who said he was in a rush  mabye he didnt wanna be poisoned? idk",enthusiasm
"@thedustball main event has not happened yet, but he is doing well so far",enthusiasm
"wishing i was there, so you should go in my place. #brandwkshop http://tr.im/mOXL i see they've got scott bedbury and more.. poor me",enthusiasm
@flomingo that sounds cool! post video!!,enthusiasm
be back later!  HAPPY MOTHER'S DAY TO ALL THE MOTHERS IN THE WORLD! ï¿½ GOD LOVES US ALL!,enthusiasm
@james_stjohn That's what we hope for!,enthusiasm
wishing I was attending #beatweetup I even bought a badge,enthusiasm
"Wow, been away 4 a while...stupid lap top is in the shop...still    Hope everyone is well!",enthusiasm
@lexxie_couper  I've heard that. 2 of my sons have seen it and one wants to see it again. I can't wait to get there,enthusiasm
@mistressmia Their is no such thing as TRANSPARENCY only selective OPACITY...,enthusiasm
@RoboRoxy @lulzlix I'm SO jealous! I don't know when I'll be able to see Conan.,enthusiasm
About to go on 6 hour journey home,enthusiasm
@jgm22 Hoping you have some pics to share?- &amp; hoping your Monday am isn't too rough today,enthusiasm
"@INKDMOM I know, right?!? I have such a lead foot",enthusiasm
i think i like the workshop,enthusiasm
badminton marathon tonight!  please cooperate feet!,fun
@lamarjmorgan looks like you need a local marketing person. I'm booked for 2 gigs in Vegas that day,fun
@BrentO what about aPORKalype Now for the made for TV movie?,fun
@MikeyNEF mmmm... looks so yummy! good seeing u,fun
is having awesome fruits and vegetable juice at the opening of Lam's noodles at 8@tradehub21  #fb http://tinyurl.com/qnjqx2,fun
"@fudgecrumpet mines early nov,,,, will go through it 2 gether buddy!!! Man power",fun
@peebles95 call me later so i can tell you all about the weekend. Easier over phone.,fun
@mmmonkman Nice one. Hahaha  Thanks for last night &lt;3,fun
@jdpeterson Absolutely,fun
@kg86 aww.. thanks bro!  glad I got u active on twitter!,fun
"gets sumthin special, but i want more. akankah suatu hari ku kan mendapatkannya...? only GOD knows...",fun
"can't wait to see 'Transformers 2'.. C'me on, Shia! Yippiee!",fun
@DanWarp: Loved it!  Would never have thought he was into the iCarly version of Beanie Babies. xD,fun
"Mucking about on Guitar Rig 3. The demo, that is",fun
"Ah, lets start working! Livingroom here I come",fun
"@rowansingh Depends where your drinking, what your drinking, and how many mates you have. Joke fails",fun
@amber_benson Looks like fun doing the Macarena with a live band!,fun
just got out of the pool!!   so fun..now gonna watch tv and do stuff on the computer. (:,fun
@Airbase woOt!,fun
wants to go swimming,fun
"#SanctuarySunday @Fredto it's our mission to make #Sanctuary a trending topic for the day, lots of people on board for it...join in",fun
@OXtravaganza and I was just gonna ask you if you wanted to go to CLUB Hidden House on sat night. hehe.,fun
Throwin' down in the kitchen like I do  making Rah's illi Chili and Shalonda's Bangin Cake,fun
@pooopy oooh really haha have they said anything about it yet!? i'll suggest the idea on twitter if you want/havent already,fun
Download movie  &quot;Jackass 3&quot; http://tinyurl.com/caotku cool #movie,fun
Jus got back from a run up sunset blvd! My cuzin tried to kill me my legs are still movin and I'm sittin down!!,fun
"@Miss_Kookie girl,rain is my song forrealll!!!",fun
@BADSenoritaa when u do get at me i will show u all the hotspots there is no where i dont kno when it comes to shoppin here lol,fun
Joey's getting a new lizard... This should be fun  x,fun
@vickybonnett lmao! a good push up bra always makes the abs look smaller. in order to have Robbikin-esque abs.. 6 days a week working out,fun
@savepolaroid happy polaroid week back at ya! #roidweek yeah,fun
high &amp; dry goin to have an ice cream now with my best friend.,fun
Happy Mothers Day! ..ok..seriously..good night,fun
ooooo I am playing around with my book'smovie trailer (whn I'm not writing of course) &amp; it looks GOOOOOOOOOOD!  I need a release date,fun
My favourite photo (that I took) from last night: http://tinyurl.com/oto5sz can't wait to see @byronrode's pics,fun
@Wally_v10 grax,fun
I miss @lavren cant wait until June for HIL HANGZ~ Tonight was sososo good,fun
"@vrooje did you see Star Trek yet?  i've seen it, twice already! i didn't like it the first time, the second time was way better!!! hahaha",fun
@DoeMarley SOMEBODY ACTUALLY TOLD ME THAT!!  LOL,fun
waitin 4 the skool bus soo tired nd still soo much 2 do...want 2 b lazy nd sleep but since I cnt ill sing all my fav songs,fun
"@blaqberry I know, me too.  I'm hoping since I got him sesame oil, which he loves, that he'll let it slide. *fingers crossed*",fun
so most kids love my dark hair some say that I dye it too much and they never know what color its going to be  yea me hahahahaha,fun
waking up at 6 am? yuuup. still going out tonight? you better believe it.,fun
Gonna read a story bout adam lambert online then bed. Nighty night,fun
"I know what would make me really tired, put me to sleep and I would sleep good!  ...RICE!!! Lmao!",fun
"@veeiceekayi look, i'm following you!",fun
@coollike are you daft  your now going to recieve a million friend invites on xbox now and one of them shall be me,fun
my sidekick is awkward flashing. oh well. leaving my mommy out her flowers and stuff,fun
@NTKilpatrick nope  but the T1i looks super sweet!,fun
Can't wait for SYTYCD tour with Ashleighhh &amp; Izzayyy,fun
"Yaaawwwnnn.....Heading out to the gym, then off to work. Happy Monday.",fun
is up for lots of revision today and then out toniight,fun
I haven't gone sheesha smoking in a loooong time  Maybe tomorrow? &gt; *starts planning*,fun
@fayarina shweeeeet!,fun
@Coybh yep! for a rock station in OKC  check my profile real quick,fun
@jermtech @bradconner I do the same thing to anybody covering dave... haha... we don't like people messing with perfect music.,fun
"Hahaha @Jordan23Capp yes dey dooo, BOSTON Legal  tha fat old man is funny, tha one that was naked ina pink gown Lol",fun
omg J.O.N.A.S. is my new fave show &lt;3 one guess as to why hahahha,fun
The Hangover: That movie is gonna be hilarious. wish i could see it with the crew,fun
"@Jaggerwerks nooooooooo....u never call me anymore  lol...but, i've been good too...rick ross is in town, might go 2 his show 2nite ;-)",fun
"@enfant_terrible haha, that was new  the fact that he couldn't do it should have cost his part. What kind of Spock is that!",fun
so much fun at the beach today!  and delicious dinner at @kimbononowowo's house!! i friggin love Mark and Josh!! I'm gonna miss them!!,fun
"#SanctuarySunday @nirroca yay for #Sanctuary, I may watch Requiem after breakfast!",fun
Hello twitting world!  We are off to best buddies bbq  but untill then Jay z is on Spotify,fun
"@tommcfly haha that was good, slightly geeky but funny  x",fun
"@GabrielSaporta @SUAREASY @NovarroNate you guys were absolutely amazing tonight, as always. thanks for always bringing the dance party.",fun
@RopeMarksMuse _what_ did you do?  Let me guess... you skipped sports and bought a new pinkish outfit?,fun
@prateek_agwl Talking to whom? This 'Shah Rukh Khan' is an imposter here... LOL! BTW thanx for the follow...,fun
"After seeing Star Trek again, I noticed they went a little crazy with the lens flare.",fun
"@LchangetheworLd No, i dont think its bad. And its very well edited, too.",fun
"@PrimeMinister3 Thanks! Am trying.. (keeping my chin up, ouch!)",fun
"@Candice_Jo you'll have a drink bc the race is over...I'm telling you,it's an addiction that leads to Elvis presiding over our wedding",fun
@catrionat7 Lol I Sed Want to Not Ach Dress Up For No Reason. Pleaseeeeeeeeeeeeee Im Bored.  Lol,fun
"@elegyofhope haha you didnt see my macbook or my 24'' imac in that pic, so feel extra jealous lolll",fun
"@suareasy http://twitpic.com/4bbcy - aww, sweet !!",fun
TODAY WAS SOO FUN!!  happy bday chrissy &lt;3,fun
@__Jasper_Hale__ *Laughs* that's because I like winning,fun
"@bratinella, @carambs - muji  yipee. is anybody coming here? i can send them over hahaha. but can somebody bring JT's BSG disks? haha",fun
Back from x-men origins . Was surprisingly good,fun
"If you guys would be interested in watching me get tattooed tomorrow, let me know!",fun
@blueskiesxj  i like yours too   i enjoy your photography. =],fun
is it unny today or not? taking too long to decide haha. i wna get a tan,fun
Spongebob sing a long. Amandas mom gave me and crystal jonas brothers calendars,fun
haha May the 4th be with you! Happy Star Wars Day!,fun
What a grey bank holiday. Watching Wallace and Gromit cheered me up,fun
I've already been cleaning for over an hour!!! So much more http://twitpic.com/67gzx,fun
"@MatthewHass008 Love that she couldn't just stop with one picture! First one is priceless, but the speedo is great, too.  Kudos to mom.",fun
Kicking Back In The Holidays  No More School for a whiles,fun
@WayneDaStar that's a mess  I'll look for it next week,fun
